Pampanga,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 56),(n = 49),(n = 7),(n = 56),(n = 56),(n = 0),(n = 49),(n = 49),(n = 0),(n = 50),(n = 50),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Own,64,67,43,34,34,0,49,45,0,50,50,0
Borrowed,2,2,0,13,13,0,53,47,0,38,38,0
Both,34,31,57,27,27,0,10,8,0,12,12,0
Tarlac,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 76),(n = 57),(n = 19),(n = 73),(n = 73),(n = 0),(n = 86),(n = 77),(n = 9),(n = 45),(n = 45),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Own,33,30,42,26,26,0,42,42,44,56,56,0
Borrowed,17,18,16,3,3,0,47,47,44,42,42,0
Both,50,53,42,22,22,0,12,12,11,2,2,0
Laguna,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 56),(n = 38),(n = 18),(n = 54),(n = 45),(n = 9),(n = 59),(n = 59),(n = 0),(n = 57),(n = 56),(n = 1)
,(Percent of farmers),,,,,,,,,,,
Own,68,61,83,63,58,89,73,73,0,72,71,100
Borrowed,9,13,0,9,11,0,15,15,0,16,16,0
Both,23,26,17,11,11,11,12,12,0,12,13,0
Quezon,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 52),(n = 39),(n = 13),(n = 52),(n = 32),(n = 20),(n = 60),(n = 34),(n = 26),(n = 59),(n = 29),(n = 30)
,(Percent of farmers),,,,,,,,,,,
Own,77,69,100,81,75,90,83,76,92,90,83,97
Borrowed,12,15,0,2,3,0,12,18,4,3,3,3
Both,12,15,0,6,3,10,5,6,4,7,14,0
Occidental Mindoro,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 51),(n = 26),(n = 25),(n = 25),(n = 25),(n = 0),(n = 60),(n = 43),(n = 17),(n = 33),(n = 33),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Own,25,12,40,32,32,0,48,37,76,30,30,0
Borrowed,10,4,16,0,0,0,48,58,24,55,55,0
Both,65,85,44,68,68,0,3,5,0,15,15,0
Oriental Mindoro,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 85),(n = 67),(n = 18),(n = 86),(n = 82),(n = 4),(n = 82),(n = 73),(n = 9),(n = 86),(n = 70),(n = 16)
,(Percent of farmers),,,,,,,,,,,
Own,32,30,39,31,30,50,33,29,56,41,39,50
Borrowed,9,10,6,12,12,0,30,29,22,20,20,19
Both,59,60,56,44,44,50,40,42,22,40,41,31
Albay,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 49),(n = 30),(n = 19),(n = 49),(n = 30),(n = 19),(n = 60),(n = 49),(n = 11),(n = 60),(n = 52),(n = 8)
,(Percent of farmers),,,,,,,,,,,
Own,76,90,53,82,90,68,90,88,100,88,87,100
Borrowed,2,3,0,6,7,5,3,4,0,8,10,0
Both,22,7,47,10,0,26,7,8,0,3,4,0
Camarines Sur,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 89),(n = 70),(n = 19),(n = 90),(n = 82),(n = 8),(n = 106),(n = 79),(n = 27),(n = 114),(n = 75),(n = 39)
,(Percent of farmers),,,,,,,,,,,
Own,60,60,58,66,66,63,73,65,74,60,57,62
Borrowed,2,3,0,0,0,0,15,18,4,6,5,8
Both,39,37,42,20,18,38,19,18,22,35,37,31
Iloilo,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 88),(n = 41),(n = 47),(n = 88),(n = 70),(n = 18),(n = 116),(n = 62),(n = 54),(n = 58),(n = 29),(n = 29)
,(Percent of farmers),,,,,,,,,,,
Own,69,78,62,31,27,44,65,71,57,66,55,76
Borrowed,3,0,6,1,0,6,25,26,24,19,24,14
Both,27,22,32,14,4,50,10,3,19,16,21,10
Bohol,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 75),(n = 22),(n = 53),(n = 76),(n = 61),(n = 15),(n = 81),(n = 33),(n = 48),(n = 86),(n = 32),(n = 54)
,(Percent of farmers),,,,,,,,,,,
Own,93,100,91,51,43,87,95,94,92,90,84,93
Borrowed,0,0,0,0,0,0,0,0,0,6,16,0
Both,7,0,9,3,0,13,7,6,8,5,0,7
Leyte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 79),(n = 52),(n = 27),(n = 79),(n = 55),(n = 24),(n = 84),(n = 69),(n = 15),(n = 83),(n = 69),(n = 14)
,(Percent of farmers),,,,,,,,,,,
Own,53,44,70,63,55,83,40,36,60,43,39,64
Borrowed,5,8,0,5,7,0,37,38,33,33,35,21
Both,42,48,30,30,36,17,24,26,7,24,26,14
Northern Samar,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 50),(n = 26),(n = 24),(n = 50),(n = 17),(n = 33),(n = 45),(n = 27),(n = 18),(n = 59),(n = 27),(n = 32)
,(Percent of farmers),,,,,,,,,,,
Own,88,81,96,84,82,85,80,70,94,73,48,94
Borrowed,0,0,0,0,0,0,2,4,0,3,7,0
Both,12,19,4,16,18,15,18,26,6,24,44,6
Zamboanga del Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 42),(n = 19),(n = 23),(n = 42),(n = 28),(n = 14),(n = 60),(n = 32),(n = 28),(n = 43),(n = 29),(n = 14)
,(Percent of farmers),,,,,,,,,,,
Own,93,89,96,57,46,79,83,75,93,91,86,100
Borrowed,2,5,0,2,0,7,13,25,0,9,14,0
Both,5,5,4,14,14,14,3,0,7,0,0,0
Zamboanga del Sur,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 51),(n = 39),(n = 12),(n = 51),(n = 42),(n = 9),(n = 60),(n = 45),(n = 15),(n = 60),(n = 49),(n = 11)
,(Percent of farmers),,,,,,,,,,,
Own,45,44,50,49,55,22,33,31,40,38,41,27
Borrowed,8,10,0,16,10,44,62,62,60,53,49,73
Both,47,46,50,35,36,33,5,7,0,8,10,0
Zamboanga Sibugay,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 22),(n = 4),(n = 18),(n = 22),(n = 10),(n = 12),(n = 24),(n = 8),(n = 16),(n = 25),(n = 6),(n = 19)
,(Percent of farmers),,,,,,,,,,,
Own,55,0,67,50,20,75,38,0,50,60,33,68
Borrowed,18,25,17,9,10,8,67,100,50,40,67,32
Both,27,75,17,9,0,17,0,0,0,0,0,0
Bukidnon,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 47),(n = 29),(n = 18),(n = 48),(n = 42),(n = 6),(n = 80),(n = 67),(n = 13),(n = 77),(n = 71),(n = 6)
,(Percent of farmers),,,,,,,,,,,
Own,79,66,100,56,50,100,80,76,92,79,77,100
Borrowed,9,14,0,0,0,0,15,16,8,21,23,0
Both,15,21,0,10,12,0,6,7,0,0,0,0
Davao de Oro,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 12),(n = 12),(n = 0),(n = 12),(n = 12),(n = 0),(n = 26),(n = 22),(n = 4),(n = 25),(n = 20),(n = 5)
,(Percent of farmers),,,,,,,,,,,
Own,33,33,0,42,42,0,35,36,25,52,50,60
Borrowed,33,33,0,25,25,0,54,55,50,48,50,40
Both,33,33,0,33,33,0,12,9,25,0,0,0
Davao del Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 19),(n = 19),(n = 0),(n = 19),(n = 19),(n = 0),(n = 34),(n = 34),(n = 0),(n = 34),(n = 34),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Own,32,32,0,58,58,0,53,53,0,41,41,0
Borrowed,47,47,0,26,26,0,47,47,0,50,50,0
Both,21,21,0,16,16,0,0,0,0,9,9,0
Davao del Sur,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 32),(n = 31),(n = 1),(n = 32),(n = 32),(n = 0),(n = 60),(n = 60),(n = 0),(n = 60),(n = 60),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Own,28,29,0,41,41,0,37,37,0,45,45,0
Borrowed,19,19,0,22,22,0,62,62,0,52,52,0
Both,53,52,100,38,38,0,0,0,0,3,3,0
Davao Oriental,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 60),(n = 58),(n = 2),(n = 60),(n = 58),(n = 2),(n = 60),(n = 60),(n = 0),(n = 60),(n = 60),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Own,50,52,0,40,41,0,32,32,0,43,43,0
Borrowed,28,29,0,33,34,0,48,48,0,48,48,0
Both,22,19,100,27,24,100,20,20,0,8,8,0
North Cotabato,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 41),(n = 30),(n = 11),(n = 39),(n = 36),(n = 3),(n = 84),(n = 59),(n = 25),(n = 68),(n = 49),(n = 19)
,(Percent of farmers),,,,,,,,,,,
Own,51,57,36,41,36,67,58,59,48,53,57,42
Borrowed,5,7,0,5,6,0,36,32,44,32,29,42
Both,44,37,64,26,25,33,8,8,8,15,14,16
South Cotabato,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 49),(n = 40),(n = 9),(n = 48),(n = 47),(n = 1),(n = 59),(n = 50),(n = 9),(n = 56),(n = 47),(n = 9)
,(Percent of farmers),,,,,,,,,,,
Own,37,40,22,31,30,100,73,72,78,95,96,89
Borrowed,0,0,0,2,2,0,20,20,22,2,2,0
Both,63,60,78,19,19,0,7,8,0,4,2,11
Sultan Kudarat,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 53),(n = 40),(n = 13),(n = 46),(n = 39),(n = 7),(n = 58),(n = 43),(n = 15),(n = 40),(n = 40),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Own,43,33,77,28,21,71,26,16,47,30,30,0
Borrowed,17,20,8,7,10,0,59,63,40,20,20,0
Both,40,48,15,24,23,29,19,21,13,50,50,0
Agusan del Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 25),(n = 15),(n = 10),(n = 25),(n = 17),(n = 8),(n = 57),(n = 32),(n = 25),(n = 51),(n = 34),(n = 17)
,(Percent of farmers),,,,,,,,,,,
Own,36,40,30,12,12,13,42,41,40,43,47,35
Borrowed,36,47,20,20,18,25,40,38,44,51,47,59
Both,28,13,50,44,35,63,19,22,16,6,6,6
Agusan del Sur,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 41),(n = 26),(n = 15),(n = 41),(n = 24),(n = 17),(n = 54),(n = 34),(n = 20),(n = 60),(n = 32),(n = 28)
,(Percent of farmers),,,,,,,,,,,
Own,22,15,33,24,25,24,31,21,45,30,25,36
Borrowed,32,38,20,37,38,35,67,76,50,62,66,57
Both,46,46,47,39,38,41,4,3,5,8,9,7
Maguindanao,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Source of capital,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 37),(n = 23),(n = 14),(n = 28),(n = 28),(n = 0),(n = 65),(n = 58),(n = 7),(n = 34),(n = 31),(n = 3)
,(Percent of farmers),,,,,,,,,,,
Own,41,43,36,39,39,0,91,78,57,62,58,100
Borrowed,8,13,0,0,0,0,22,17,43,12,13,0
Both,51,43,64,0,0,0,6,5,0,26,29,0
