Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
    Crop care and maintenance,1181,1098,1365,1207,763,622,1179,797,1210,812,1049,714,1507,1574,1670,1670,963,1025,1949,2110,2139,2227,1192,1312,2158,4325,2187,3753,2089,5462,2128,4189,2178,3857,1935,5269
    Harvesting and threshing,150,580,118,549,227,642,123,547,109,550,184,531,96,331,78,294,153,426,175,824,141,715,309,1152,166,1168,142,1177,226,1146,173,1902,114,1138,401,3530
    Post-harvest labor,45,63,40,62,54,66,314,257,309,265,333,218,127,213,125,214,133,209,141,277,127,263,194,323,5,91,6,107,3,30,108,1151,55,301,312,2451
Total Labor Costs,11603,,12440,,9657,,14353,,15211,,10631,,17281,,18149,,14374,,19620,,20702,,15301,,22238,,22985,,20440,,24179,,24274,,23815,
Ilocos Norte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 57),,(n = 42),,(n = 15),,(n = 30),,(n = 28),,(n = 2),,(n = 60),,(n = 57),,(n = 3),,(n = 33),,(n = 33),,(n = 0),,(n = 120),,(n = 96),,(n = 24),,(n = 74),,(n = 74),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Hired Labor (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,69,184,47,178,130,196,109,211,116,217,0,0,196,350,207,356,0,0,132,275,132,275,,,920,1912,983,2037,667,1297,774,973,774,973,,
    Land preparation,3043,2506,3021,2759,3106,1683,2965,3171,3006,3252,2387,2315,1660,1635,1747,1631,0,0,2172,1781,2172,1781,,,6065,3943,6283,4063,5195,3358,7106,5080,7106,5080,,
    Crop establishment,1977,1114,1947,1078,2062,1247,3844,2026,3837,2100,3950,71,4622,2572,4682,2620,3467,924,4413,1746,4413,1746,,,6576,4579,6885,4292,5339,5512,11192,8558,11192,8558,,
    Crop care and maintenance,64,256,68,286,56,150,6,30,6,31,0,0,130,389,137,398,0,0,17,70,17,70,,,457,1837,433,1896,554,1611,50,187,50,187,,
    Harvesting and threshing,5926,2850,6112,3060,5404,2162,5344,4674,5545,4729,2529,3577,9416,4280,9285,4345,11911,1474,9879,4447,9879,4447,,,10188,5507,10359,5636,9503,5006,11478,6793,11478,6793,,
    Post-harvest labor,535,716,532,768,542,565,294,613,315,630,0,0,499,351,484,353,782,97,339,301,339,301,,,187,300,190,317,173,229,955,922,955,922,,
    Permanent hired labor,182,1378,0,0,693,2685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,
"Operator, Family & Exchange (OFE) Labor (₱/ha)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,125,45,133,42,104,47,160,56,161,58,148,42,659,564,657,576,689,306,523,300,523,300,,,677,697,720,737,502,480,996,1000,996,1000,,
    Land preparation,568,566,655,588,325,426,449,509,433,495,667,890,899,971,832,943,2175,562,920,1170,920,1170,,,523,842,432,662,886,1298,974,1066,974,1066,,
    Crop establishment,658,820,594,800,838,876,1463,740,1499,712,952,1279,745,799,700,794,1600,0,999,1366,999,1366,,,1045,1979,720,1449,2345,3063,632,1207,632,1207,,
    Crop care and maintenance,1808,1099,1986,1181,1311,620,2202,692,2213,704,2054,651,2181,1235,2255,1222,767,58,4728,3128,4728,3128,,,4237,5063,4508,5414,3155,3168,4659,4438,4659,4438,,
    Harvesting and threshing,493,1163,563,1288,295,702,746,1534,666,1472,1875,2652,206,462,203,472,267,231,1035,1884,1035,1884,,,625,2425,656,2582,500,1694,186,820,186,820,,
    Post-harvest labor,67,70,76,75,42,43,758,291,757,301,773,121,176,334,185,340,0,0,669,707,669,707,,,0,0,0,0,0,0,203,501,203,501,,
Total Labor Costs,15516,,15733,,14909,,18339,,18554,,15335,,21389,,21375,,21657,,25827,,25827,,0,,31500,,32170,,28819,,39205,,39205,,0,
Pangasinan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 147),,(n = 96),,(n = 51),,(n = 73),,(n = 73),,(n = 0),,(n = 149),,(n = 120),,(n = 29),,(n = 89),,(n = 87),,(n = 2),,(n = 302),,(n = 208),,(n = 94),,(n = 226),,(n = 226),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Hired Labor (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,146,300,169,334,103,220,154,329,154,329,,,198,317,216,332,120,238,228,368,233,371,0,0,236,540,206,429,304,726,304,640,304,640,,
    Land preparation,2094,1492,2101,1476,2080,1535,2369,1759,2369,1759,,,2878,2230,3000,2272,2374,2005,3100,2225,3172,2199,0,0,2639,2441,2519,2409,2903,2504,3551,2569,3551,2569,,
    Crop establishment,2297,1121,2641,763,1650,1382,2959,1567,2959,1567,,,4288,2365,4598,2143,3006,2815,4228,2094,4325,2015,0,0,4990,3382,5526,3160,3803,3567,5594,3799,5594,3799,,
    Crop care and maintenance,124,347,159,408,59,172,135,330,135,330,,,127,301,144,323,58,167,342,915,350,924,0,0,326,752,349,800,275,635,419,935,419,935,,
    Harvesting and threshing,4810,1963,5108,1844,4249,2072,5063,2298,5063,2298,,,6276,2868,6574,2786,5042,2918,7019,2995,7030,3027,6532,1135,6404,3750,6874,4033,5365,2778,7166,3556,7166,3556,,
    Post-harvest labor,310,389,311,355,308,450,720,716,720,716,,,389,447,409,449,305,435,351,420,355,423,176,248,581,577,648,588,433,524,837,778,837,778,,
    Permanent hired labor,107,811,165,1000,0,0,104,628,104,628,,,49,603,61,672,0,0,197,1861,202,1882,0,0,949,2873,1332,3363,102,696,1498,4097,1498,4097,,
"Operator, Family & Exchange (OFE) Labor (₱/ha)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,82,59,91,54,65,65,134,92,134,92,,,418,352,419,318,414,475,338,339,346,339,0,0,542,782,606,773,402,788,348,412,348,412,,
    Land preparation,261,369,258,343,267,418,414,434,414,434,,,757,844,788,815,627,957,504,599,499,605,708,59,1083,1241,1213,1340,795,930,1460,1517,1460,1517,,
    Crop establishment,66,199,38,98,120,304,1043,556,1043,556,,,433,478,425,466,469,533,336,618,332,624,533,189,490,650,464,615,549,720,579,1356,579,1356,,
    Crop care and maintenance,1094,910,1285,1011,735,526,1371,772,1371,772,,,1116,863,1183,907,839,586,1570,1415,1544,1391,2696,2693,1890,1928,2041,1953,1555,1839,2689,3150,2689,3150,,
    Harvesting and threshing,164,489,88,341,309,667,169,439,169,439,,,141,349,143,335,130,409,86,234,87,236,0,0,126,594,29,188,340,998,3,18,3,18,,
    Post-harvest labor,54,58,41,55,76,57,263,248,263,248,,,300,311,282,280,372,416,152,168,154,169,65,56,0,0,0,0,0,0,75,201,75,201,,
Total Labor Costs,11611,,12456,,10020,,14897,,14897,,0,,17369,,18242,,13758,,18452,,18630,,10710,,20256,,21806,,16828,,24522,,24522,,0,
Apayao,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 120),,(n = 94),,(n = 26),,(n = 120),,(n = 112),,(n = 8),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Hired Labor (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,237,450,206,406,347,578,107,237,88,204,383,446
    Land preparation,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1062,2016,918,1657,1579,2960,1427,1967,1343,1712,2607,4194
    Crop establishment,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,6900,2496,6545,1538,8185,4319,6432,2237,6225,2119,9333,1902
    Crop care and maintenance,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,87,270,77,256,119,319,273,608,239,577,742,853
    Harvesting and threshing,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,6735,2628,7069,2395,5527,3097,8255,3985,8310,4092,7479,1914
    Post-harvest labor,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,791,870,886,901,450,651,1032,1774,1062,1825,610,667
    Permanent hired labor,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,111,857,119,887,0,0
"Operator, Family & Exchange (OFE) Labor (₱/ha)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,516,711,533,790,455,283,533,624,514,543,799,1365
    Land preparation,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,969,769,983,784,919,723,2383,3016,2472,3076,1138,1654
    Crop establishment,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,372,419,348,399,459,484,272,421,288,431,56,104
    Crop care and maintenance,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2747,3757,3039,4159,1693,1166,3055,4619,3193,4729,1130,1886
    Harvesting and threshing,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,80,579,96,653,23,82,113,868,121,898,0,0
    Post-harvest labor,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,117,236,111,237,200,214
Total Labor Costs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,20497,,20702,,19757,,24111,,24085,,24477,
Kalinga,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 120),,(n = 94),,(n = 26),,(n = 116),,(n = 104),,(n = 12),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Hired Labor (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,430,1233,439,1260,398,1154,109,315,122,331,0,0
    Land preparation,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1323,1755,1501,1887,681,931,1866,2064,1990,2113,794,1157
    Crop establishment,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,4543,3635,4751,3866,3793,2557,4786,3318,4498,3357,7287,1400
    Crop care and maintenance,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,749,2147,889,2396,240,481,411,1008,447,1057,96,225
    Harvesting and threshing,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,5181,3623,5572,3740,3767,2792,7157,3016,7205,2805,6737,4608
    Post-harvest labor,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,674,736,791,776,253,312,1570,1086,1535,1067,1876,1246
    Permanent hired labor,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1873,3125,1929,3114,1671,3218,4860,6614,5110,6881,2693,2897
"Operator, Family & Exchange (OFE) Labor (₱/ha)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,730,1497,767,1646,594,758,310,493,301,481,389,600
    Land preparation,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1507,2346,1527,2439,1434,2017,1403,1754,1325,1557,2077,2985
    Crop establishment,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,259,394,246,418,309,296,203,301,192,279,302,455
    Crop care and maintenance,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1470,2100,1334,1751,1962,3043,2618,6601,2835,6935,742,989
    Harvesting and threshing,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,147,508,119,482,248,592,302,1316,307,1376,260,608
    Post-harvest labor,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,67,224,63,227,101,191
Total Labor Costs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,18886,,19864,,15350,,25662,,25929,,23356,
Cagayan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 114),,(n = 87),,(n = 27),,(n = 109),,(n = 77),,(n = 32),,(n = 112),,(n = 88),,(n = 24),,(n = 112),,(n = 88),,(n = 24),,(n = 224),,(n = 164),,(n = 60),,(n = 230),,(n = 200),,(n = 30),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Hired Labor (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,39,132,45,147,19,68,24,119,33,140,2,11,127,210,130,219,116,178,110,197,115,206,91,165,205,337,251,366,79,195,193,477,212,503,67,206
    Land preparation,1349,1609,1393,1691,1206,1328,936,1111,967,1213,860,824,1244,1529,1215,1507,1350,1635,1297,1339,1279,1350,1363,1326,1147,1477,1177,1498,1063,1428,1704,2433,1697,2468,1751,2223
    Crop establishment,2050,867,2197,782,1575,969,2096,959,2247,979,1734,812,3371,1409,3508,1419,2871,1278,3482,1195,3482,1126,3481,1448,4897,2307,4738,2317,5333,2241,6526,3486,6526,2540,6522,7190
    Crop care and maintenance,23,164,25,183,16,81,43,229,61,270,0,0,119,277,125,282,96,263,86,266,85,269,92,262,154,446,187,498,64,238,268,1018,309,1086,0,0
    Harvesting and threshing,5490,2574,5871,2753,4261,1289,6315,3025,7059,3071,4526,2020,6607,2864,6728,3053,6162,2018,8784,3480,9115,3695,7567,2201,6173,4254,6664,4516,4831,3094,8106,4553,8351,4703,6472,2955
    Post-harvest labor,394,437,416,461,323,347,465,611,521,652,330,482,520,517,551,535,405,432,599,557,575,535,684,637,659,769,754,821,397,528,1610,1446,1699,1504,1016,750
    Permanent hired labor,779,1889,857,2038,529,1295,1390,3434,1769,3874,480,1756,1148,2497,1379,2707,304,1190,1554,3579,1757,3692,811,3090,1191,3130,1300,3339,891,2469,1443,3845,1575,4026,563,2141
"Operator, Family & Exchange (OFE) Labor (₱/ha)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,80,41,79,44,85,34,129,80,124,86,141,65,516,449,548,462,397,386,510,396,493,411,571,339,732,1093,585,702,1134,1712,802,2322,575,795,2315,5959
    Land preparation,386,380,362,355,466,449,617,561,612,570,630,547,1397,1377,1333,1318,1630,1585,1273,1389,1207,1434,1513,1208,1265,1588,989,1181,2019,2211,1584,1879,1501,1758,2132,2516
    Crop establishment,94,271,73,230,159,371,786,709,1036,688,185,254,275,500,283,534,245,356,397,993,427,1097,288,434,373,975,335,885,478,1190,847,5370,857,5720,778,1805
    Crop care and maintenance,1516,1288,1743,1369,786,533,991,631,986,697,1003,441,1784,1596,1941,1686,1207,1050,1609,1636,1795,1767,923,700,2804,4005,2685,3742,3128,4667,2457,3438,2630,3639,1303,934
    Harvesting and threshing,148,752,188,858,21,54,136,819,169,972,56,121,115,402,110,430,132,282,124,542,139,603,70,190,142,533,184,612,27,145,44,311,51,333,1,4
    Post-harvest labor,55,57,52,56,68,60,390,244,396,265,377,186,187,236,188,255,183,147,193,229,193,242,191,177,0,0,0,0,0,0,84,249,72,214,163,412
Total Labor Costs,12404,,13301,,9514,,14318,,15979,,10324,,17409,,18039,,15098,,20017,,20664,,17645,,19742,,19852,,19444,,25667,,26054,,23082,
Isabela,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 89),,(n = 74),,(n = 15),,(n = 89),,(n = 75),,(n = 14),,(n = 114),,(n = 90),,(n = 24),,(n = 115),,(n = 90),,(n = 25),,(n = 224),,(n = 188),,(n = 36),,(n = 232),,(n = 208),,(n = 24),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Hired Labor (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,35,144,35,153,36,97,24,72,27,78,6,21,92,200,82,211,130,148,53,114,47,105,75,142,202,541,214,554,141,466,66,245,56,225,149,375
    Land preparation,823,1315,797,1332,949,1265,805,1178,840,1214,613,980,1150,1250,973,1247,1816,1038,1097,1488,1007,1383,1422,1810,1038,2000,788,1448,2341,3493,1445,1924,1388,1901,1939,2087
    Crop establishment,2063,1146,2080,1180,1980,993,2260,1195,2351,1228,1772,887,3332,1950,3610,1916,2289,1741,2830,1697,3105,1521,1840,1947,5097,4854,5709,4999,1900,2014,5123,3184,5259,3047,3944,4076
    Crop care and maintenance,73,233,82,250,29,113,46,229,55,249,0,0,110,280,101,273,142,307,67,222,83,247,11,53,344,1680,364,1805,241,754,227,665,254,698,0,0
    Harvesting and threshing,4716,2474,5010,2439,3269,2176,6134,2099,6633,1743,3461,1841,5713,3269,6343,3310,3351,1655,8141,3175,9003,2902,5034,1951,6771,3834,7204,3834,4510,2973,7968,4856,8352,4881,4645,3096
    Post-harvest labor,314,364,345,377,162,241,525,552,616,554,36,94,155,306,159,331,141,189,147,317,123,326,234,268,964,795,1089,781,306,492,1427,1199,1504,1216,765,786
    Permanent hired labor,1372,2167,1458,2230,943,1831,1857,2936,2204,3078,0,0,2154,4150,2713,4511,58,282,3483,5035,4451,5303,0,0,3360,5227,3971,5491,168,703,1796,4353,1983,4557,171,581
"Operator, Family & Exchange (OFE) Labor (₱/ha)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Seedling management,67,59,64,60,82,58,98,97,84,90,178,102,199,262,193,261,223,267,198,313,157,266,343,417,431,1045,424,1043,468,1068,430,877,387,731,808,1662
    Land preparation,617,639,548,614,958,674,565,560,448,512,1193,363,600,823,595,860,618,686,725,966,466,724,1658,1154,2512,6328,1976,5750,5311,8298,1431,2439,1326,2200,2345,3899
    Crop establishment,121,314,118,330,138,229,659,712,705,747,412,423,132,284,123,265,164,349,255,519,171,415,557,721,370,1002,280,492,842,2197,250,442,228,409,437,642
    Crop care and maintenance,1285,1128,1293,1150,1244,1051,1160,727,1123,769,1360,396,1062,1399,1206,1537,524,320,1092,1284,1117,1420,1002,582,4064,9062,3932,8412,4755,12023,1611,2363,1606,2367,1654,2376
    Harvesting and threshing,83,320,87,345,64,155,87,368,83,396,108,147,39,154,22,125,102,225,201,778,81,644,633,1046,222,1461,76,341,984,3503,81,517,76,527,125,423
    Post-harvest labor,42,66,38,62,60,84,295,231,279,245,379,101,14,33,14,30,16,46,19,68,5,24,70,127,0,0,0,0,0,0,34,129,24,95,122,278
Total Labor Costs,11612,,11956,,9914,,14514,,15447,,9516,,14753,,16134,,9573,,18308,,19816,,12879,,25374,,26027,,21967,,21890,,22442,,17104,
Nueva Vizcaya,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
