Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
  Harvesting and threshing,17.3,5.75,17.76,5.43,16.24,6.32,18.01,7,18.36,6.85,16.59,7.52,19.12,9.59,19.68,9.58,17.23,9.37,19.39,9.32,19.93,9.27,17.21,9.23,17.03,26.32,17.17,29.39,16.69,16.79,15.22,29.15,13.73,22.46,20.97,46.2
  Post-harvest labor,0.61,0.61,0.66,0.61,0.51,0.6,1.46,1.47,1.53,1.5,1.17,1.29,1.66,1.95,1.67,1.98,1.64,1.85,1.71,2.01,1.73,2.03,1.64,1.9,2.88,5.28,3.06,5.45,2.45,4.82,2.84,5.92,2.91,6.03,2.57,5.46
  Permanent hired labor,1.7,5.72,2.12,6.51,0.69,2.91,2.52,6.71,2.83,7.18,1.18,3.85,1.33,3.78,1.61,4.18,0.41,1.55,2.29,6.89,2.7,7.4,0.7,3.9,5.65,18.15,6.41,19,3.83,15.77,4.78,14.08,5.32,14.61,2.7,11.56
"Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pre Harvest Labor,10.94,11.54,12.45,12.58,7.48,7.1,18.66,14.45,19.03,14.27,17.16,13.56,17.18,19.68,17.94,20.04,14.66,16.94,19.14,21.84,19.64,22.06,17.13,18.44,18.13,35.91,17.5,31.56,19.65,44.29,18.53,76.79,16.93,61.66,24.64,109.97
     Seedling management,0.45,0.39,0.45,0.39,0.44,0.38,0.63,0.6,0.6,0.6,0.78,0.59,1.54,1.99,1.6,2.04,1.33,1.78,1.44,1.85,1.42,1.89,1.49,1.7,1.47,3.15,1.49,3.07,1.43,3.34,1.67,4.7,1.51,3.59,2.26,7.57
     Land preparation,0.36,1.32,0.42,1.43,0.22,0.99,3.19,3.14,2.88,2.96,4.53,3.53,4.64,5.19,4.43,5.05,5.35,5.55,4.77,5.45,4.3,5.17,6.66,6.1,5,8.05,4.54,7.21,6.09,9.7,5.74,32.48,4.81,31.24,9.31,36.64
     Crop establishment,0.11,1,0.12,1.06,0.06,0.62,5.56,5.11,6.28,5.12,2.5,3.76,1.73,2.75,1.64,2.64,2.02,3.08,1.58,2.6,1.47,2.4,2,3.26,2.4,6.86,2.1,5.2,3.13,9.73,2.86,24.43,2.1,12.47,5.75,47.78
     Crop care & maintenance,10.02,8.83,11.46,9.7,6.76,5.11,9.28,5.6,9.27,5.59,9.35,5.68,9.27,9.75,10.27,10.31,5.96,6.53,11.35,11.94,12.45,12.6,6.98,7.38,9.26,17.85,9.37,16.08,9,21.52,8.26,15.18,8.51,14.36,7.32,17.98
  Harvesting and threshing,1.07,3.83,0.79,3.43,1.73,4.56,0.84,3.4,0.69,3.17,1.5,4.17,0.53,1.8,0.44,1.63,0.82,2.24,0.46,1.98,0.41,1.7,0.67,2.84,0.67,4.5,0.57,4.45,0.93,4.6,0.61,6.45,0.41,3.82,1.41,12.01
  Post-harvest labor,0.36,0.47,0.32,0.45,0.45,0.5,2.46,1.84,2.35,1.83,2.96,1.79,0.7,1.17,0.69,1.17,0.75,1.16,0.64,0.98,0.6,0.96,0.79,1.05,0.02,0.34,0.02,0.4,0.01,0.13,0.42,4.98,0.21,1.02,1.22,10.74
Total Labor,44,,47,,38,,57,,58,,52,,61,,63,,53,,64,,66,,56,,69,,70,,67,,64,,61,,78,
Ilocos Norte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 57),,(n = 42),,(n = 15),,(n = 30),,(n = 28),,(n = 2),,(n = 60),,(n = 57),,(n = 3),,(n = 33),,(n = 33),,(n = 0),,(n = 60),,(n = 48),,(n = 12),,(n = 37),,(n = 37),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Labor Requirements (person-days/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hired labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pre Harvest Labor,12.01,7.88,12.56,8,10.51,7.42,14.92,12.02,14.91,12.39,15.17,2.13,26.7,17.36,27.51,17.32,11.5,8.76,24.33,13.39,24.33,13.39,0,0,52.34,54.6,55.21,57.23,40.88,39.99,64.73,56.28,64.73,56.28,0,0
     Seedling management,0.05,0.12,0.03,0.1,0.12,0.16,0.2,0.35,0.22,0.35,0,0,0.41,0.65,0.43,0.66,0,0,0.37,0.72,0.37,0.72,,,0.55,1.16,0.61,1.27,0.33,0.56,1.02,1.88,1.02,1.88,,
     Land preparation,1.77,1.71,1.85,1.83,1.56,1.33,3.74,6.87,3.85,7.1,2.28,1.06,2.94,2.73,3.1,2.71,0,0,2.54,2.63,2.54,2.63,,,3.64,4.96,4,5.29,2.2,3.1,10.7,12.6,10.7,12.6,,
     Crop establishment,10,5.42,10.48,5.38,8.67,5.51,10.94,4.57,10.8,4.7,12.89,1.07,22.53,11.71,23.11,11.62,11.5,8.76,21.34,9.72,21.34,9.72,,,46.8,41.9,49.56,44.49,35.77,28.12,52.94,41.53,52.94,41.53,,
     Crop care & maintenance,0.19,0.63,0.2,0.69,0.16,0.42,0.04,0.23,0.04,0.24,0,0,0.82,2.27,0.87,2.33,0,0,0.08,0.32,0.08,0.32,,,1.35,6.58,1.04,6.18,2.58,8.21,0.07,0.27,0.07,0.27,,
  Harvesting and threshing,17.66,7.52,17.3,7.4,18.64,8.02,16.53,9.54,17.14,9.34,8,11.31,24.82,12.5,25.09,12.75,19.67,4.04,23.84,10.58,23.84,10.58,,,52.11,30.6,51.47,31.04,54.69,29.97,63.25,46.72,63.25,46.72,,
  Post-harvest labor,0.69,0.56,0.64,0.57,0.83,0.51,1.29,2.03,1.39,2.07,0,0,1.98,1.4,2,1.43,1.67,0.58,2.81,2.66,2.81,2.66,,,15.98,18.79,14.25,18.74,22.92,18.11,22.51,26.41,22.51,26.41,,
  Permanent hired labor,0.23,1.76,0,0,0.89,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,
"Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pre Harvest Labor,12.75,8,14.02,7.87,9.21,4.88,25.73,11.08,25.84,10.91,24,17.01,23.92,19.91,23.97,19.86,22.95,3.94,34.39,24.97,34.39,24.97,0,0,30.22,42.86,29.34,42.13,33.69,39.54,28.77,29.64,28.77,29.64,0,0
     Seedling management,0.76,0.25,0.8,0.23,0.63,0.26,0.98,0.3,0.97,0.31,0.99,0.28,3.43,3.2,3.48,3.27,2.45,0.59,2.58,1.55,2.58,1.55,,,3.31,3.57,3.31,3.55,3.32,3.82,4.08,4.11,4.08,4.11,,
     Land preparation,0,0,0,0,0,0,2.17,2.17,2.11,2.11,2.98,3.86,4.03,3.7,3.79,3.59,8.67,3.06,4.32,4.82,4.32,4.82,,,2.25,3.95,1.78,2.87,4.09,6.64,3.81,4.14,3.81,4.14,,
     Crop establishment,0.08,0.64,0,0,0.32,1.24,9.11,4.9,9.31,4.74,6.34,8.53,3.84,4,3.62,3.99,8,0,4.87,4.33,4.87,4.33,,,5.04,9.43,3.72,7.75,10.31,13.51,2.49,5.07,2.49,5.07,,
     Crop care & maintenance,11.91,7.11,13.22,7.64,8.26,3.38,13.47,3.71,13.45,3.75,13.69,4.34,12.62,9.01,13.08,9.01,3.83,0.29,22.62,14.27,22.62,14.27,,,19.62,25.91,20.53,27.96,15.97,15.57,18.39,16.32,18.39,16.32,,
  Harvesting and threshing,3.3,7.75,3.68,8.53,2.24,5.06,4.54,9.61,3.98,9.09,12.5,17.68,1.38,3.09,1.39,3.16,1.33,1.15,3.21,5.51,3.21,5.51,,,2.92,11.21,3.02,11.84,2.5,8.66,0.7,3.19,0.7,3.19,,
  Post-harvest labor,0.44,0.46,0.49,0.5,0.31,0.3,4.69,1.87,4.65,1.92,5.15,0.81,0.88,1.71,0.93,1.74,0,0,1.91,1.35,1.91,1.35,,,0,0,0,0,0,0,0.96,2.78,0.96,2.78,,
Total Labor,47,,49,,43,,68,,68,,65,,80,,81,,57,,90,,90,,0,,154,,153,,155,,181,,181,,0,
Pangasinan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 147),,(n = 96),,(n = 51),,(n = 73),,(n = 73),,(n = 0),,(n = 149),,(n = 120),,(n = 29),,(n = 89),,(n = 87),,(n = 2),,(n = 151),,(n = 104),,(n = 47),,(n = 113),,(n = 113),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Labor Requirements (person-days/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hired labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pre Harvest Labor,13.62,8.45,15.38,6.61,10.29,9.85,15.61,9.53,15.61,9.53,0,0,23.57,17.19,25.21,16.55,16.78,17.53,24.89,17.16,25.46,16.88,0,0,20.45,14.91,22.82,13.76,15.19,15.51,17.95,19.01,17.95,19.01,0,0
     Seedling management,0.18,0.3,0.19,0.31,0.15,0.29,0.25,0.45,0.25,0.45,,,0.52,0.99,0.57,1.05,0.29,0.64,0.61,0.94,0.62,0.95,0,0,0.29,0.69,0.32,0.77,0.22,0.46,0.3,0.79,0.3,0.79,,
     Land preparation,2.01,1.9,2.16,2.02,1.72,1.64,3.47,2.77,3.47,2.77,,,3.17,3.07,3.31,3.15,2.59,2.68,2.94,3.32,3.01,3.33,0,0,2.44,2.49,2.59,2.6,2.11,2.22,2.83,3.42,2.83,3.42,,
     Crop establishment,11.02,5.23,12.58,3.41,8.07,6.66,11.34,4.88,11.34,4.88,,,19.19,11.3,20.54,10.36,13.58,13.35,20.63,11.58,21.1,11.27,0,0,17.01,10.01,19.21,8.68,12.14,11.06,13.49,9.43,13.49,9.43,,
     Crop care & maintenance,0.41,1.02,0.45,0.87,0.35,1.26,0.55,1.43,0.55,1.43,,,0.69,1.83,0.79,1.99,0.32,0.86,0.71,1.32,0.73,1.33,0,0,0.71,1.72,0.7,1.71,0.72,1.77,1.33,5.37,1.33,5.37,,
  Harvesting and threshing,16.92,5.49,17.55,4.76,15.74,6.54,17.1,7.3,17.1,7.3,,,17.26,9.41,17.88,9.05,14.72,10.57,16.26,8.66,16.31,8.71,14.4,7.63,5.61,7.74,5.71,8.38,5.4,6.18,4.41,8.37,4.41,8.37,,
  Post-harvest labor,0.6,0.74,0.64,0.8,0.53,0.6,2.2,1.79,2.2,1.79,,,1.5,1.81,1.56,1.84,1.24,1.66,1.13,1.59,1.14,1.6,0.5,0.71,1.27,1.34,1.41,1.37,0.96,1.24,1.26,1.28,1.26,1.28,,
  Permanent hired labor,0.17,1.57,0.27,1.94,0,0,0.17,1.01,0.17,1.01,,,0.01,0.08,0.01,0.09,0,0,0.12,1.09,0.12,1.1,0,0,1.9,6.25,2.69,7.37,0.16,1.12,4.82,14.64,4.82,14.64,,
"Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pre Harvest Labor,8.45,7.69,9.87,8.66,5.75,4.07,19.62,11.48,19.62,11.48,0,0,13.65,12.96,14.41,13.11,10.55,11.24,14.53,15.92,14.36,15.92,21.7,14,14.27,16.14,15.36,16.34,11.88,15.26,17.22,21.29,17.22,21.29,0,0
     Seedling management,0.53,0.36,0.58,0.33,0.42,0.39,0.89,0.58,0.89,0.58,,,2.11,1.85,2.2,1.81,1.77,2.03,1.74,1.81,1.78,1.81,0,0,1.89,2.57,2.11,2.51,1.41,2.66,1.23,1.4,1.23,1.4,,
     Land preparation,0.04,0.34,0.06,0.42,0,0,2.39,2.38,2.39,2.38,,,3.6,3.95,3.9,4.07,2.4,3.2,2.48,2.92,2.41,2.93,5.13,0.18,3.86,4.37,4.32,4.75,2.83,3.19,4.81,4.92,4.81,4.92,,
     Crop establishment,0,0.03,0,0.04,0,0,7.07,3.75,7.07,3.75,,,2.23,2.53,2.18,2.32,2.4,3.31,1.5,2.1,1.48,2.12,2.67,0.94,1.76,2.29,1.67,2.18,1.97,2.53,2,4.58,2,4.58,,
     Crop care & maintenance,7.88,6.96,9.23,7.87,5.33,3.68,9.27,4.77,9.27,4.77,,,5.71,4.63,6.13,4.91,3.98,2.7,8.81,9.09,8.69,9.06,13.9,12.88,6.76,6.91,7.26,6.9,5.67,6.88,9.18,10.39,9.18,10.39,,
  Harvesting and threshing,1.13,3.39,0.59,2.39,2.13,4.6,1.04,2.5,1.04,2.5,,,0.79,2.01,0.71,1.66,1.1,3.06,0.43,1.17,0.44,1.18,0,0,0.46,2.17,0.1,0.63,1.26,3.68,0.01,0.06,0.01,0.06,,
  Post-harvest labor,0.38,0.43,0.29,0.39,0.55,0.45,1.93,1.76,1.93,1.76,,,1.54,1.53,1.53,1.44,1.62,1.88,0.76,0.82,0.77,0.83,0.44,0.27,0,0,0,0,0,0,0.24,0.66,0.24,0.66,,
Total Labor,41,,45,,35,,58,,58,,0,,58,,61,,46,,58,,59,,37,,44,,48,,35,,46,,46,,0,
Apayao,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 60),,(n = 47),,(n = 13),,(n = 60),,(n = 56),,(n = 4),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Labor Requirements (person-days/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hired labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pre Harvest Labor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.74,28.73,27.33,16.29,52.26,44.16,28.58,28.95,25.72,24.05,68.72,53.31
     Seedling management,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.62,1.26,0.64,1.33,0.58,1.04,0.15,0.44,0.14,0.45,0.24,0.4
     Land preparation,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2.37,3.78,2.36,4.01,2.38,2.93,2.52,4.86,2.45,4.93,3.5,4.12
     Crop establishment,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,29.28,22.01,23.84,9.14,48.93,39.08,25.26,22.13,22.57,17.25,62.94,46.41
     Crop care & maintenance,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.47,1.68,0.49,1.81,0.37,1.11,0.65,1.52,0.56,1.42,2.04,2.38
  Harvesting and threshing,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,3.3,7.54,3.46,8.1,2.71,5.25,1.8,1.94,1.84,1.99,1.22,0.86
  Post-harvest labor,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1.33,1.58,1.53,1.68,0.59,0.83,1.16,1.67,1.22,1.72,0.36,0.43
  Permanent hired labor,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.27,2.08,0.34,2.35,0,0,0.5,3.89,0.54,4.02,0,0
"Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pre Harvest Labor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.46,27.1,21.75,29.32,15.85,13.02,21.74,28.88,22.51,29.12,10.92,18.38
     Seedling management,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2.21,2.86,2.26,3.18,2.05,1.26,2.05,2.4,1.97,2.04,3.2,5.9
     Land preparation,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,4.22,3.44,4.24,3.48,4.15,3.43,7.02,8.16,7.3,8.33,3,4.08
     Crop establishment,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1.59,1.82,1.44,1.58,2.15,2.51,0.79,1.28,0.83,1.32,0.19,0.38
     Crop care & maintenance,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,12.44,18.98,13.81,21.08,7.5,5.82,11.88,17.04,12.41,17.43,4.53,8.02
  Harvesting and threshing,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.33,2.33,0.38,2.63,0.12,0.42,0.45,3.49,0.48,3.61,0,0
  Post-harvest labor,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.31,0.66,0.3,0.66,0.5,0.58
Total Labor,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,58,,55,,72,,55,,53,,82,
Kalinga,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 60),,(n = 47),,(n = 13),,(n = 58),,(n = 52),,(n = 6),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Labor Requirements (person-days/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hired labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pre Harvest Labor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.39,27.03,25.81,25.34,33.12,27.92,25.93,26.73,24.22,23.17,40.81,39.97
     Seedling management,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.71,1.8,0.72,1.91,0.7,1.37,0.25,0.77,0.28,0.81,0,0
     Land preparation,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,5.64,6.31,5.96,6.26,4.49,6.59,5.5,7.27,5.1,4.66,8.99,19.12
     Crop establishment,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,19.3,14.12,17.08,11.81,27.31,18.87,18.94,14.74,17.5,13.55,31.42,19.87
     Crop care & maintenance,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1.74,4.8,2.05,5.36,0.62,1.09,1.24,3.95,1.34,4.15,0.4,0.98
  Harvesting and threshing,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,8.73,12.75,8.82,12.51,8.44,14.09,5.1,8.57,4.8,8.44,7.71,10.02
  Post-harvest labor,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2.03,3.1,2.49,3.36,0.38,0.44,2.8,2.99,2.75,2.98,3.29,3.28
  Permanent hired labor,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,14.73,24.02,15.13,25.49,13.25,18.55,11.58,17.77,12.22,18.56,6.1,6.7
"Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pre Harvest Labor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.73,28.23,16.58,26.63,21.85,30.35,17.1,29.22,17.34,29.13,14.93,21.77
     Seedling management,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,3.12,6.02,3.09,6.43,3.22,4.46,1.26,1.97,1.19,1.83,1.81,3.14
     Land preparation,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,6.08,8.98,6.14,9.71,5.85,5.96,5.41,6.2,5.09,5.48,8.2,11.02
     Crop establishment,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1.18,1.74,1.06,1.79,1.61,1.52,0.82,1.29,0.75,1.11,1.44,2.42
     Crop care & maintenance,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,7.35,11.49,6.29,8.7,11.17,18.41,9.61,19.76,10.31,20.71,3.48,5.19
  Harvesting and threshing,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0.7,2.6,0.6,2.6,1.06,2.64,1.06,4.53,1.09,4.74,0.87,2.13
  Post-harvest labor,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.25,0.79,0.24,0.81,0.37,0.67
Total Labor,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,71,,69,,78,,64,,63,,74,
Cagayan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 114),,(n = 87),,(n = 27),,(n = 109),,(n = 77),,(n = 32),,(n = 112),,(n = 88),,(n = 24),,(n = 112),,(n = 88),,(n = 24),,(n = 112),,(n = 82),,(n = 30),,(n = 115),,(n = 100),,(n = 15),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Labor Requirements (person-days/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
