Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
        Crop establishment,147,392,113,341,227,480,740,736,844,748,296,469,305,493,293,480,344,534,368,917,325,730,542,1427,575,1540,517,1386,716,1852,756,7106,527,3155,1635,14321
        Crop care and maintenance,1181,1098,1365,1207,763,622,1179,797,1210,812,1049,714,1507,1574,1670,1670,963,1025,1949,2110,2139,2227,1192,1312,2158,4325,2187,3753,2089,5462,2128,4189,2178,3857,1935,5269
        Harvesting and threshing,150,580,118,549,227,642,123,547,109,550,184,531,96,331,78,294,153,426,175,824,141,715,309,1152,166,1168,142,1177,226,1146,173,1902,114,1138,401,3530
        Post-harvest labor,45,63,40,62,54,66,314,257,309,265,333,218,127,213,125,214,133,209,141,277,127,263,194,323,5,91,6,107,3,30,108,1151,55,301,312,2451
 Power,230,804,243,831,198,740,153,800,143,823,202,695,622,879,636,884,575,861,586,796,596,812,548,728,1041,6498,920,2262,1333,11466,720,1474,746,1502,621,1359
 Total Labor and Power Costs,11833,,12684,,9855,,14506,,15354,,10833,,17902,,18785,,14949,,20207,,21298,,15849,,23279,,23905,,21773,,24900,,25020,,24437,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,813,997,810,1037,820,901,760,1018,762,1019,751,1017,1123,1063,1117,1053,1141,1098,1101,1042,1098,1020,1113,1128,1619,2355,1543,2368,1803,2314,1475,1849,1423,1839,1672,1874
      Irrigation,499,1018,694,1146,57,355,782,1284,953,1353,49,461,945,1087,1220,1089,25,253,1321,1501,1652,1506,0,...,653,1609,922,1845,7,194,758,1885,956,2071,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,270,318,272,324,264,299,252,336,266,353,198,255,111,185,113,187,106,182,194,661,185,344,226,1288
      Land tax,243,756,263,781,198,699,284,735,299,756,215,632,377,555,397,570,309,496,201,413,215,445,146,242,232,2226,273,2469,132,1481,150,1594,139,1058,191,2828
      Land rent,4186,23910,4698,28499,3014,4973,3544,5707,3797,6049,2489,3746,10351,5441,10833,5526,8738,4810,10387,4933,10882,4986,8409,4170,4490,8349,4740,8718,3889,7352,5066,9402,5235,9305,4418,9742
      Other inputs,248,473,275,492,186,421,231,299,249,309,155,235,723,942,768,985,572,763,657,1117,706,1165,461,877,887,557,929,540,787,583,1056,1450,1101,1515,883,1150
      Interest on capital,12,16,13,16,9,16,11,16,11,16,10,17,702,1147,763,1185,496,985,799,1281,896,1345,413,889,746,1862,846,2018,504,1391,375,1276,422,1355,193,887
 Total Other Costs,6001,,6753,,4284,,5612,,6071,,3669,,14490,,15370,,11544,,14718,,15715,,10739,,8738,,9365,,7228,,9073,,9462,,7582,
Total Cost of Production,24255,,26317,,19499,,27486,,29501,,18816,,42199,,44526,,34414,,44908,,47742,,33599,,43962,,45615,,39983,,45739,,46808,,41639,
NET RETURNS,10347,,11346,,8011,,13335,,15159,,6417,,6382,,6983,,4481,,13868,,16179,,5415,,13158,,15757,,7191,,22735,,27020,,6918,
Cost/kg,6.65,,6.63,,6.71,,6.95,,6.91,,7.25,,11.49,,11.47,,11.6,,10.88,,10.72,,11.85,,11.77,,11.47,,12.66,,10.97,,10.48,,13.72,
Net Profit Cost Ratio,0.43,,0.43,,0.41,,0.49,,0.51,,0.34,,0.15,,0.16,,0.13,,0.31,,0.34,,0.16,,0.3,,0.35,,0.18,,0.5,,0.58,,0.17,
Net Profit from Rice Farming,10347,,11346,,8011,,13335,,15159,,6417,,6382,,6983,,4481,,13868,,16179,,5415,,13158,,15757,,7191,,22735,,27020,,6918,
"Net Profit from Rice Farming + Returns
 to Own Labor",12421,,13499,,9910,,16348,,18240,,9139,,9737,,10425,,7541,,17931,,20213,,9588,,17741,,20176,,12167,,28002,,31627,,14712,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",16606,,18197,,12924,,19891,,22037,,11628,,20088,,21258,,16279,,28317,,31096,,17997,,22231,,24916,,16056,,33069,,36863,,19130,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",16618,,18210,,12933,,19902,,22048,,11638,,20789,,22021,,16776,,29116,,31991,,18410,,22976,,25762,,16560,,33443,,37285,,19323,
Ilocos Norte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 57),,(n = 42),,(n = 15),,(n = 30),,(n = 28),,(n = 2),,(n = 60),,(n = 57),,(n = 3),,(n = 33),,(n = 33),,(n = 0),,(n = 120),,(n = 96),,(n = 24),,(n = 74),,(n = 74),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),0.36,0.3,0.32,0.27,0.48,0.36,0.27,0.18,0.27,0.18,0.3,0.28,0.33,0.28,0.33,0.28,0.25,...,0.26,0.19,0.26,0.19,...,...,0.33,0.22,0.31,0.21,0.38,0.25,0.35,0.22,0.35,0.22,...,...
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),4267,982,4529,848,3535,985,4691,1666,4806,1659,3080,792,4738,1675,4758,1715,4373,403,5630,1413,5630,1413,...,...,4389,1977,4269,1667,4868,2906,4936,2642,4936,2642,...,...
   Price (₱/kg),10.29,0.64,10.3,0.73,10.26,0.26,10.73,1.22,10.76,1.2,10.4,1.98,14.02,1.88,13.9,1.83,16.33,1.15,13.06,0.97,13.06,0.97,...,...,14.19,1.73,14.34,1.81,13.58,1.21,14.81,1.65,14.81,1.65,...,...
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,43893,,46626,,36267,,50352,,51702,,32032,,66447,,66138,,71431,,73532,,73532,,0,,62288,,61238,,66123,,73111,,73111,,0,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1229,970,1279,1087,1090,527,1483,1077,1485,1114,1455,346,2606,1555,2618,1530,2379,2382,3135,2897,3135,2897,...,...,3253,4079,3368,4285,2793,3155,2242,1975,2242,1975,...,...
      Fertilizer,2335,2807,1910,2718,3523,2798,10482,8319,10745,8515,6800,4508,10449,2466,10511,2515,9259,103,15154,3860,15154,3860,...,...,10178,4382,9857,4375,11461,4257,9138,6690,9138,6690,...,...
      Herbicides,97,366,116,416,42,161,11,61,12,63,0,...,376,763,395,778,0,...,11,62,11,62,...,...,524,950,487,865,672,1245,473,976,473,976,...,...
      Insecticides,214,283,246,296,124,229,239,724,250,749,80,113,549,734,562,749,293,254,356,1114,356,1114,...,...,347,701,224,395,840,1257,622,928,622,928,...,...
      Fungicides,3,22,4,26,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,...,...,36,169,37,185,35,81,152,500,152,500,...,...
      Other pesticides,25,122,33,142,1,5,51,170,54,176,0,...,118,208,99,191,480,208,235,502,235,502,...,...,357,720,409,757,150,508,745,689,745,689,...,...
 Total Material Costs,3902,,3589,,4780,,12265,,12546,,8335,,14097,,14186,,12411,,18891,,18891,,0,,14696,,14383,,15951,,13373,,13373,,0,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,69,184,47,178,130,196,109,211,116,217,0,...,196,350,207,356,0,...,132,275,132,275,...,...,920,1912,983,2037,667,1297,774,973,774,973,...,...
        Land preparation,3043,2506,3021,2759,3106,1683,2965,3171,3006,3252,2387,2315,1660,1635,1747,1631,0,...,2172,1781,2172,1781,...,...,6065,3943,6283,4063,5195,3358,7106,5080,7106,5080,...,...
        Crop establishment,1977,1114,1947,1078,2062,1247,3844,2026,3837,2100,3950,71,4622,2572,4682,2620,3467,924,4413,1746,4413,1746,...,...,6576,4579,6885,4292,5339,5512,11192,8558,11192,8558,...,...
        Crop care and maintenance,64,256,68,286,56,150,6,30,6,31,0,...,130,389,137,398,0,...,17,70,17,70,...,...,457,1837,433,1896,554,1611,50,187,50,187,...,...
        Harvesting and threshing,5926,2850,6112,3060,5404,2162,5344,4674,5545,4729,2529,3577,9416,4280,9285,4345,11911,1474,9879,4447,9879,4447,...,...,10188,5507,10359,5636,9503,5006,11478,6793,11478,6793,...,...
        Post-harvest labor,535,716,532,768,542,565,294,613,315,630,0,...,499,351,484,353,782,97,339,301,339,301,...,...,187,300,190,317,173,229,955,922,955,922,...,...
        Permanent hired labor,182,1378,0,...,693,2685,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,...,...,0,...,0,...,0,...,0,...,0,...,...,...
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,125,45,133,42,104,47,160,56,161,58,148,42,659,564,657,576,689,306,523,300,523,300,...,...,677,697,720,737,502,480,996,1000,996,1000,...,...
        Land preparation,568,566,655,588,325,426,449,509,433,495,667,890,899,971,832,943,2175,562,920,1170,920,1170,...,...,523,842,432,662,886,1298,974,1066,974,1066,...,...
        Crop establishment,658,820,594,800,838,876,1463,740,1499,712,952,1279,745,799,700,794,1600,...,999,1366,999,1366,...,...,1045,1979,720,1449,2345,3063,632,1207,632,1207,...,...
        Crop care and maintenance,1808,1099,1986,1181,1311,620,2202,692,2213,704,2054,651,2181,1235,2255,1222,767,58,4728,3128,4728,3128,...,...,4237,5063,4508,5414,3155,3168,4659,4438,4659,4438,...,...
        Harvesting and threshing,493,1163,563,1288,295,702,746,1534,666,1472,1875,2652,206,462,203,472,267,231,1035,1884,1035,1884,...,...,625,2425,656,2582,500,1694,186,820,186,820,...,...
        Post-harvest labor,67,70,76,75,42,43,758,291,757,301,773,121,176,334,185,340,0,...,669,707,669,707,...,...,0,...,0,...,0,...,203,501,203,501,...,...
 Power,195,394,208,357,158,496,92,243,98,250,0,...,525,967,526,979,500,866,1018,884,1018,884,...,...,827,1552,814,1599,882,1379,1270,1666,1270,1666,...,...
 Total Labor and Power Costs,15711,,15941,,15068,,18431,,18652,,15335,,21914,,21901,,22157,,26845,,26845,,0,,32327,,32984,,29701,,40475,,40475,,0,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,2634,2300,2904,2501,1876,1417,3452,3643,3512,3715,2600,3253,2243,1276,2198,1293,3114,...,2753,1440,2753,1440,...,...,2288,2811,2320,2918,2162,2388,2685,2457,2685,2457,...,...
      Irrigation,441,809,503,717,267,1033,2546,3713,2728,3781,0,...,1401,1511,1475,1515,0,...,2313,2875,2313,2875,...,...,418,1069,522,1173,0,...,193,648,193,648,...,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,414,317,419,320,320,277,994,611,994,611,...,...,18,129,23,144,0,...,221,388,221,388,...,...
      Land tax,598,1335,696,1502,323,642,559,1272,599,1308,0,...,566,749,590,760,100,173,309,618,309,618,...,...,836,4219,190,1309,3421,8734,0,...,0,...,...,...
      Land rent,5449,5785,5736,6014,4646,5198,8119,10112,8448,10355,3511,4965,16161,3865,16227,3928,14904,2516,14258,3917,14258,3917,...,...,6273,7736,5610,7460,8926,8400,12651,14910,12651,14910,...,...
      Other inputs,167,205,155,144,199,326,386,428,372,440,585,21,1574,824,1583,839,1400,529,1125,1082,1125,1082,...,...,1182,570,1173,521,1216,747,1737,920,1737,920,...,...
      Interest on capital,2,9,3,9,1,5,4,13,4,13,0,...,300,793,315,811,22,15,352,1192,352,1192,...,...,520,1913,471,1958,713,1751,62,34,62,34,...,...
 Total Other Costs,9290,,9997,,7313,,15066,,15664,,6696,,22660,,22807,,19861,,22104,,22104,,0,,11535,,10309,,16438,,17550,,17550,,0,
Total Cost of Production,28904,,29526,,27161,,45762,,46862,,30366,,58671,,58894,,54428,,67840,,67840,,0,,58558,,57676,,62089,,71398,,71398,,0,
NET RETURNS,14990,,17100,,9107,,4590,,4840,,1666,,7776,,7243,,17003,,5691,,5691,,0,,3730,,3563,,4034,,1713,,1713,,0,
Cost/kg,6.77,,6.52,,7.68,,9.75,,9.75,,9.86,,12.38,,12.38,,12.45,,12.05,,12.05,,0,,13.34,,13.51,,12.75,,14.46,,14.46,,0,
Net Profit Cost Ratio,0.52,,0.58,,0.34,,0.1,,0.1,,0.05,,0.13,,0.12,,0.31,,0.08,,0.08,,0,,0.06,,0.06,,0.06,,0.02,,0.02,,0,
Net Profit from Rice Farming,14990,,17100,,9107,,4590,,4840,,1666,,7776,,7243,,17003,,5691,,5691,,0,,3730,,3563,,4034,,1713,,1713,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor",18708,,21106,,12022,,10368,,10568,,8135,,12642,,12076,,22500,,14566,,14566,,0,,10837,,10600,,11422,,9364,,9364,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",24158,,26842,,16668,,18487,,19016,,11646,,28803,,28304,,37404,,28824,,28824,,0,,17110,,16209,,20348,,22015,,22015,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",24160,,26845,,16669,,18491,,19020,,11646,,29103,,28618,,37426,,29175,,29175,,0,,17629,,16681,,21061,,22077,,22077,,0,
Pangasinan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 147),,(n = 96),,(n = 51),,(n = 73),,(n = 73),,(n = 0),,(n = 149),,(n = 120),,(n = 29),,(n = 89),,(n = 87),,(n = 2),,(n = 302),,(n = 208),,(n = 94),,(n = 226),,(n = 226),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),0.78,0.41,0.81,0.4,0.71,0.42,0.81,0.43,0.81,0.43,...,...,0.77,0.48,0.79,0.47,0.69,0.51,0.73,0.42,0.74,0.43,0.55,0.07,0.81,0.49,0.81,0.51,0.8,0.45,0.78,0.46,0.78,0.46,...,...
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),3878,1218,4115,1074,3431,1352,4258,1128,4258,1128,...,...,3659,1309,3888,1246,2707,1137,3981,1235,3965,1238,4677,1193,3906,1481,4279,1369,3081,1388,4446,1747,4446,1747,...,...
   Price (₱/kg),10.26,0.75,10.35,0.76,10.09,0.7,11.06,0.87,11.06,0.87,...,...,11.93,1.94,11.93,2.04,11.91,1.51,12.95,1.51,12.96,1.52,12.5,...,15.06,1.9,15.02,1.84,15.16,2.04,16.99,1.55,16.99,1.55,...,...
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,39775,,42582,,34607,,47085,,47085,,0,,43644,,46402,,32253,,51540,,51374,,58458,,58830,,64253,,46712,,75515,,75515,,0,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1398,666,1406,660,1385,683,1405,613,1405,613,...,...,2833,1270,2929,1300,2438,1065,2336,1144,2302,1134,3800,283,2980,2968,2835,1152,3300,5040,3299,1579,3299,1579,...,...
      Fertilizer,4903,3041,5481,3073,3813,2684,6485,3609,6485,3609,...,...,7568,3430,8168,3290,5084,2873,8879,3101,8796,3066,12518,3326,8312,4007,8804,3584,7224,4651,8309,4019,8309,4019,...,...
      Herbicides,339,602,329,575,357,656,327,579,327,579,...,...,347,473,354,467,318,505,291,462,291,465,317,448,686,790,659,657,745,1026,662,887,662,887,...,...
      Insecticides,721,855,890,928,403,583,597,706,597,706,...,...,634,745,734,786,218,293,518,565,515,562,675,955,540,720,569,638,474,876,674,755,674,755,...,...
      Fungicides,16,74,13,61,21,93,77,283,77,283,...,...,82,233,78,229,95,252,7,53,7,54,0,...,81,242,75,225,93,278,161,426,161,426,...,...
      Other pesticides,49,153,72,184,5,35,140,254,140,254,...,...,379,550,436,575,141,347,262,336,260,336,333,471,425,454,486,486,290,336,562,474,562,474,...,...
 Total Material Costs,7426,,8191,,5985,,9030,,9030,,0,,11842,,12699,,8294,,12294,,12171,,17643,,13023,,13429,,12126,,13667,,13667,,0,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,146,300,169,334,103,220,154,329,154,329,...,...,198,317,216,332,120,238,228,368,233,371,0,...,236,540,206,429,304,726,304,640,304,640,...,...
        Land preparation,2094,1492,2101,1476,2080,1535,2369,1759,2369,1759,...,...,2878,2230,3000,2272,2374,2005,3100,2225,3172,2199,0,...,2639,2441,2519,2409,2903,2504,3551,2569,3551,2569,...,...
        Crop establishment,2297,1121,2641,763,1650,1382,2959,1567,2959,1567,...,...,4288,2365,4598,2143,3006,2815,4228,2094,4325,2015,0,...,4990,3382,5526,3160,3803,3567,5594,3799,5594,3799,...,...
        Crop care and maintenance,124,347,159,408,59,172,135,330,135,330,...,...,127,301,144,323,58,167,342,915,350,924,0,...,326,752,349,800,275,635,419,935,419,935,...,...
        Harvesting and threshing,4810,1963,5108,1844,4249,2072,5063,2298,5063,2298,...,...,6276,2868,6574,2786,5042,2918,7019,2995,7030,3027,6532,1135,6404,3750,6874,4033,5365,2778,7166,3556,7166,3556,...,...
        Post-harvest labor,310,389,311,355,308,450,720,716,720,716,...,...,389,447,409,449,305,435,351,420,355,423,176,248,581,577,648,588,433,524,837,778,837,778,...,...
        Permanent hired labor,107,811,165,1000,0,...,104,628,104,628,...,...,49,603,61,672,0,...,197,1861,202,1882,0,...,949,2873,1332,3363,102,696,1498,4097,1498,4097,...,...
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,82,59,91,54,65,65,134,92,134,92,...,...,418,352,419,318,414,475,338,339,346,339,0,...,542,782,606,773,402,788,348,412,348,412,...,...
        Land preparation,261,369,258,343,267,418,414,434,414,434,...,...,757,844,788,815,627,957,504,599,499,605,708,59,1083,1241,1213,1340,795,930,1460,1517,1460,1517,...,...
        Crop establishment,66,199,38,98,120,304,1043,556,1043,556,...,...,433,478,425,466,469,533,336,618,332,624,533,189,490,650,464,615,549,720,579,1356,579,1356,...,...
        Crop care and maintenance,1094,910,1285,1011,735,526,1371,772,1371,772,...,...,1116,863,1183,907,839,586,1570,1415,1544,1391,2696,2693,1890,1928,2041,1953,1555,1839,2689,3150,2689,3150,...,...
        Harvesting and threshing,164,489,88,341,309,667,169,439,169,439,...,...,141,349,143,335,130,409,86,234,87,236,0,...,126,594,29,188,340,998,3,18,3,18,...,...
        Post-harvest labor,54,58,41,55,76,57,263,248,263,248,...,...,300,311,282,280,372,416,152,168,154,169,65,56,0,...,0,...,0,...,75,201,75,201,...,...
 Power,15,75,20,91,4,28,74,238,74,238,...,...,532,894,576,921,349,761,271,404,261,403,703,52,566,920,626,1027,435,602,678,918,678,918,...,...
 Total Labor and Power Costs,11625,,12476,,10024,,14971,,14971,,0,,17901,,18818,,14106,,18723,,18891,,11413,,20823,,22431,,17263,,25200,,25200,,0,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
