Monthly per capita income (₱),3633,3409,4262,1701,1700,1248,2378,1916,2723,2257,2298,2174,3502,3261,3721,6091,6392,1503
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,31,32,29,18,18,22,62,63,58,31,38,17,22,25,15,45,46,16
     Rice Farming - Off Farm,3,3,2,0,0,0,6,5,25,3,2,6,2,1,6,1,1,6
     Other Farming/Fishing - On Farm,16,18,9,26,27,14,11,11,10,26,14,51,11,11,11,7,7,23
     Other Farming/Fishing - Off Farm,1,1,0,1,1,0,0,0,0,3,4,3,0,0,0,0,0,0
     Non Farming,50,46,59,54,53,64,20,21,7,37,43,24,65,64,68,46,46,55
Pangasinan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 147),(n = 96),(n = 51),(n = 147),(n = 147),(n = 0),(n = 151),(n = 121),(n = 30),(n = 149),(n = 97),(n = 52),(n = 151),(n = 104),(n = 47),(n = 150),(n = 136),(n = 14)
Monthly per capita income (₱),2698,2909,2762,1842,1842,0,2457,2536,2141,2011,2296,1478,10889,11438,9675,13762,14232,9204
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,41,43,35,38,38,0,63,64,57,52,64,16,49,55,32,40,42,10
     Rice Farming - Off Farm,1,1,0,4,4,0,1,1,0,1,1,0,1,0,2,1,1,0
     Other Farming/Fishing - On Farm,10,10,12,13,13,0,0,0,0,13,7,31,5,5,5,5,5,1
     Other Farming/Fishing - Off Farm,6,5,8,3,3,0,0,0,0,1,1,2,1,1,1,0,0,2
     Non Farming,42,41,45,42,42,0,36,34,43,33,27,51,45,39,59,54,52,88
Apayao,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 60),(n = 47),(n = 13),(n = 60),(n = 56),(n = 4)
Monthly per capita income (₱),0,0,0,0,0,0,0,0,0,0,0,0,8147,8889,5465,9421,9601,9196
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,0,0,0,0,0,0,0,0,0,0,0,0,53,56,34,73,72,86
     Rice Farming - Off Farm,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,10
     Other Farming/Fishing - On Farm,0,0,0,0,0,0,0,0,0,0,0,0,8,7,10,6,6,2
     Other Farming/Fishing - Off Farm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     Non Farming,0,0,0,0,0,0,0,0,0,0,0,0,38,35,56,19,20,2
Kalinga,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 60),(n = 47),(n = 13),(n = 59),(n = 52),(n = 7)
Monthly per capita income (₱),0,0,0,0,0,0,0,0,0,0,0,0,9659,10692,5928,11848,12609,7439
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,0,0,0,0,0,0,0,0,0,0,0,0,44,43,55,45,46,28
     Rice Farming - Off Farm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     Other Farming/Fishing - On Farm,0,0,0,0,0,0,0,0,0,0,0,0,27,27,29,18,16,44
     Other Farming/Fishing - Off Farm,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,7,7,0
     Non Farming,0,0,0,0,0,0,0,0,0,0,0,0,26,28,15,30,30,28
Cagayan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 114),(n = 87),(n = 27),(n = 114),(n = 82),(n = 32),(n = 115),(n = 89),(n = 26),(n = 116),(n = 88),(n = 28),(n = 116),(n = 84),(n = 32),(n = 116),(n = 101),(n = 15)
Monthly per capita income (₱),4059,5470,2450,2710,3138,2419,4705,4220,2754,5982,6946,2953,8316,7066,5568,13034,13405,8430
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,58,60,47,63,66,51,66,66,66,72,73,61,48,54,30,49,50,35
     Rice Farming - Off Farm,2,1,4,1,1,4,3,2,6,2,2,4,0,0,0,2,2,1
     Other Farming/Fishing - On Farm,11,12,4,11,10,15,7,6,15,6,5,14,6,4,11,6,5,12
     Other Farming/Fishing - Off Farm,0,0,1,1,1,1,1,1,1,1,1,1,1,0,4,1,1,0
     Non Farming,29,26,45,24,23,30,23,24,13,18,18,21,45,42,53,42,41,52
Isabela,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 89),(n = 74),(n = 15),(n = 89),(n = 75),(n = 14),(n = 115),(n = 91),(n = 24),(n = 116),(n = 91),(n = 25),(n = 116),(n = 96),(n = 20),(n = 116),(n = 104),(n = 12)
Monthly per capita income (₱),8959,7600,6290,4548,4920,2042,4998,5787,2006,6670,7538,3510,13419,14413,8650,20160,21622,7493
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,56,60,27,60,63,31,63,65,41,66,68,48,58,61,31,54,55,33
     Rice Farming - Off Farm,3,4,1,2,2,1,4,4,5,2,2,1,0,0,1,0,0,0
     Other Farming/Fishing - On Farm,8,6,27,6,3,31,10,7,41,10,6,42,7,5,23,6,5,32
     Other Farming/Fishing - Off Farm,1,0,1,1,1,1,0,0,0,0,0,1,1,1,2,0,0,0
     Non Farming,32,30,45,32,31,36,23,24,13,21,23,9,35,33,43,39,39,35
Nueva Vizcaya,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 60),(n = 47),(n = 13),(n = 60),(n = 56),(n = 4)
Monthly per capita income (₱),0,0,0,0,0,0,0,0,0,0,0,0,13946,14562,9375,14119,14799,4607
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,0,0,0,0,0,0,0,0,0,0,0,0,44,42,51,47,47,60
     Rice Farming - Off Farm,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0
     Other Farming/Fishing - On Farm,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,3,3
     Other Farming/Fishing - Off Farm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
     Non Farming,0,0,0,0,0,0,0,0,0,0,0,0,50,51,48,48,49,37
Aurora,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 57),(n = 55),(n = 2),(n = 58),(n = 57),(n = 1),(n = 60),(n = 56),(n = 4),(n = 60),(n = 57),(n = 3),(n = 60),(n = 57),(n = 3),(n = 60),(n = 60),(n = 0)
Monthly per capita income (₱),3730,3763,1565,2646,2631,3471,3246,3053,5941,2663,2744,904,18892,19227,8360,14965,14965,0
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,62,62,37,57,58,22,61,61,63,63,62,85,71,70,87,72,72,0
     Rice Farming - Off Farm,10,9,29,10,10,0,2,2,0,3,3,0,1,1,1,1,1,0
     Other Farming/Fishing - On Farm,6,7,0,10,10,11,10,10,11,4,4,9,4,4,0,2,2,0
     Other Farming/Fishing - Off Farm,1,1,0,0,0,0,4,5,0,1,1,0,1,1,2,0,0,0
     Non Farming,21,21,34,22,21,67,23,23,26,28,29,6,23,23,10,24,24,0
Bulacan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 76),(n = 35),(n = 41),(n = 77),(n = 77),(n = 0),(n = 84),(n = 43),(n = 41),(n = 84),(n = 52),(n = 32),(n = 86),(n = 48),(n = 38),(n = 82),(n = 57),(n = 25)
Monthly per capita income (₱),6031,8795,4923,2621,2621,0,4441,2889,6828,4884,5679,3593,17387,12271,16099,20531,24644,11152
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,29,32,25,26,26,0,49,52,47,29,39,2,38,47,26,34,37,19
     Rice Farming - Off Farm,0,0,0,0,0,0,0,0,0,0,0,0,7,9,4,3,4,0
     Other Farming/Fishing - On Farm,7,5,10,17,17,0,5,9,2,10,11,10,8,4,13,4,3,10
     Other Farming/Fishing - Off Farm,4,1,8,2,2,0,1,0,1,5,7,0,1,1,0,1,1,0
     Non Farming,60,62,57,55,55,0,45,38,50,56,43,88,47,40,57,59,56,72
Nueva Ecija,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 110),(n = 97),(n = 13),(n = 110),(n = 109),(n = 1),(n = 149),(n = 142),(n = 7),(n = 148),(n = 137),(n = 11),(n = 148),(n = 111),(n = 37),(n = 151),(n = 145),(n = 6)
Monthly per capita income (₱),4753,4884,4724,3381,3405,1014,3113,3083,3094,8328,8808,2345,15913,16729,13463,21062,21711,3587
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,64,64,61,69,69,90,60,60,48,60,62,0,62,65,48,55,55,24
     Rice Farming - Off Farm,0,0,1,3,3,10,2,2,3,1,1,2,2,2,4,2,2,2
     Other Farming/Fishing - On Farm,5,5,3,12,12,0,9,9,23,17,17,34,6,3,16,4,4,2
     Other Farming/Fishing - Off Farm,0,0,0,2,2,0,1,1,0,0,0,2,0,0,0,0,0,0
     Non Farming,30,30,35,15,15,0,27,28,26,21,20,63,30,30,32,38,38,72
Pampanga,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 56),(n = 49),(n = 7),(n = 56),(n = 56),(n = 0),(n = 58),(n = 58),(n = 0),(n = 60),(n = 60),(n = 0),(n = 60),(n = 46),(n = 14),(n = 60),(n = 60),(n = 0)
Monthly per capita income (₱),6176,6117,7912,3219,3219,0,4017,4017,0,5116,5116,0,12300,13962,10256,12991,12991,0
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,49,50,40,26,26,0,47,47,0,58,58,0,53,50,73,63,63,0
     Rice Farming - Off Farm,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,2,2,0
     Other Farming/Fishing - On Farm,5,4,12,12,12,0,1,1,0,14,14,0,8,9,6,6,6,0
     Other Farming/Fishing - Off Farm,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
     Non Farming,46,46,48,58,58,0,51,51,0,27,27,0,38,40,21,28,28,0
Tarlac,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 76),(n = 57),(n = 19),(n = 76),(n = 76),(n = 0),(n = 86),(n = 77),(n = 9),(n = 83),(n = 81),(n = 2),(n = 86),(n = 55),(n = 31),(n = 86),(n = 76),(n = 10)
Monthly per capita income (₱),3125,3730,1575,2492,2492,0,3803,4013,2009,3291,3317,1385,15007,17350,7234,13296,17337,6380
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,48,48,42,34,34,0,73,74,57,22,23,0,45,49,35,40,41,27
     Rice Farming - Off Farm,1,1,3,1,1,0,2,2,0,17,18,0,0,0,0,1,1,0
     Other Farming/Fishing - On Farm,10,9,22,23,23,0,0,0,1,39,39,23,11,13,7,13,13,16
     Other Farming/Fishing - Off Farm,2,2,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1
     Non Farming,39,40,31,40,40,0,25,24,41,21,20,77,43,38,58,45,44,55
Laguna,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 56),(n = 38),(n = 18),(n = 56),(n = 46),(n = 10),(n = 60),(n = 60),(n = 0),(n = 60),(n = 59),(n = 1),(n = 60),(n = 45),(n = 15),(n = 60),(n = 48),(n = 12)
Monthly per capita income (₱),5170,4481,5298,2466,2402,1841,2592,2592,0,2756,2648,5238,9887,10433,8247,10129,11948,2857
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,29,33,24,52,55,42,59,59,0,44,46,3,23,26,12,51,51,51
     Rice Farming - Off Farm,2,3,2,4,2,11,2,2,0,3,3,1,2,2,2,3,3,3
     Other Farming/Fishing - On Farm,16,10,24,7,6,9,4,4,0,6,7,4,6,6,2,4,5,2
     Other Farming/Fishing - Off Farm,4,3,4,6,7,2,1,1,0,1,1,0,0,0,0,1,1,2
     Non Farming,49,51,46,31,30,37,34,34,0,46,43,92,69,65,84,41,41,43
Quezon,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 52),(n = 39),(n = 13),(n = 52),(n = 32),(n = 20),(n = 60),(n = 34),(n = 26),(n = 60),(n = 29),(n = 31),(n = 60),(n = 38),(n = 22),(n = 60),(n = 39),(n = 21)
Monthly per capita income (₱),4077,4233,2889,2470,2397,2587,2818,2544,2345,2738,2867,1947,7418,8563,5441,10598,12219,7587
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,32,36,14,38,33,44,39,39,39,33,35,31,24,26,19,34,35,33
     Rice Farming - Off Farm,3,1,7,2,3,1,1,1,1,2,2,1,1,1,3,0,1,0
     Other Farming/Fishing - On Farm,16,16,12,14,15,12,17,19,12,20,21,17,23,24,18,8,6,11
     Other Farming/Fishing - Off Farm,5,4,8,5,4,6,2,1,4,2,2,3,3,1,10,2,2,2
     Non Farming,46,42,58,42,45,37,41,40,44,43,40,48,49,49,51,56,57,54
Occidental Mindoro,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 51),(n = 26),(n = 25),(n = 50),(n = 33),(n = 17),(n = 60),(n = 43),(n = 17),(n = 58),(n = 37),(n = 21),(n = 60),(n = 38),(n = 22),(n = 53),(n = 45),(n = 8)
Monthly per capita income (₱),3873,4484,4014,2560,3962,1121,3072,3294,3014,4807,5405,3127,14936,12371,19366,14720,16348,5558
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,61,80,43,47,55,0,83,83,83,59,83,0,47,61,30,76,77,60
     Rice Farming - Off Farm,3,5,0,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0
     Other Farming/Fishing - On Farm,9,3,15,33,32,33,3,4,0,30,12,77,12,5,19,2,1,15
     Other Farming/Fishing - Off Farm,0,1,0,2,2,2,2,3,1,1,1,0,0,0,0,0,0,0
     Non Farming,27,12,41,18,10,64,11,9,15,8,2,23,41,33,50,20,20,24
Oriental Mindoro,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 85),(n = 67),(n = 18),(n = 86),(n = 82),(n = 4),(n = 86),(n = 76),(n = 10),(n = 86),(n = 70),(n = 16),(n = 86),(n = 71),(n = 15),(n = 82),(n = 72),(n = 10)
Monthly per capita income (₱),3887,4842,3338,2329,2381,1265,4048,4328,1531,4437,4774,2961,12819,11527,18933,13058,13499,9882
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,54,59,34,67,67,57,53,54,41,65,67,53,45,57,11,53,54,42
     Rice Farming - Off Farm,2,2,1,1,1,0,2,2,1,2,2,3,2,2,0,1,1,0
     Other Farming/Fishing - On Farm,2,2,4,2,2,0,6,6,1,4,4,3,11,2,34,11,12,2
     Other Farming/Fishing - Off Farm,0,0,0,0,0,0,1,1,9,0,1,0,2,2,0,1,1,4
     Non Farming,41,37,60,30,30,43,38,37,47,28,27,41,41,36,55,34,32,52
Palawan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
ITEM,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 0),(n = 60),(n = 34),(n = 26),(n = 60),(n = 39),(n = 21)
Monthly per capita income (₱),0,0,0,0,0,0,0,0,0,0,0,0,10137,11134,8834,12184,12952,4743
Distribution of income by source (percent),,,,,,,,,,,,,,,,,,
     Rice Farming - On Farm,0,0,0,0,0,0,0,0,0,0,0,0,49,66,22,78,81,60
     Rice Farming - Off Farm,0,0,0,0,0,0,0,0,0,0,0,0,9,14,2,2,1,6
     Other Farming/Fishing - On Farm,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,6,5,9
     Other Farming/Fishing - Off Farm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     Non Farming,0,0,0,0,0,0,0,0,0,0,0,0,37,17,71,14,12,24
Albay,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,,Jul-Dec 2016 harvest,,,Jan-Jun 2017 harvest,,
